datetime,gym,room,machine,machineId,set,weight,reps,duration,level,incline,hr,notes,zone1,zone2,zone3,zone4,zone5
2026-08-28 11:42:07 AM,Equinox 67th St,Calisthenics,Leg Raise,m1787931559984,1,,10,,,,,,,,,,
2026-08-28 11:48:58 AM,Equinox 67th St,Weight Machines,Chest Press,m1787930960837,1,30,10,,,,,,,,,,
2026-08-28 11:48:58 AM,Equinox 67th St,Weight Machines,Chest Press,m1787930960837,2,70,15,,,,,,,,,,
2026-08-28 11:48:58 AM,Equinox 67th St,Weight Machines,Chest Press,m1787930960837,3,90,12,,,,,,,,,,
2026-08-28 11:48:58 AM,Equinox 67th St,Weight Machines,Chest Press,m1787930960837,4,100,11,,,,,,,,,,
2026-08-28 11:49:23 AM,Equinox 67th St,Weight Machines,Shoulder Press,m1787930981077,1,50,12,,,,,,,,,,
2026-08-28 11:49:23 AM,Equinox 67th St,Weight Machines,Shoulder Press,m1787930981077,2,70,12,,,,,,,,,,
2026-08-28 11:49:23 AM,Equinox 67th St,Weight Machines,Shoulder Press,m1787930981077,3,90,10,,,,,,,,,,
2026-08-23 09:30:41 PM,Common Machines,Outdoor Activities,Walk,walk,1,,,10,1,,,,,,,,
2026-08-23 09:34:43 PM,Common Machines,Cardio,Treadmill,treadmill,1,,,10,,,,,,,,,
2026-08-23 10:14:58 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,1,,10,,,,,,,,,,
2026-08-23 10:19:18 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,2,,10,,,,,,,,,,
2026-08-23 10:19:18 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,3,,4,,,,,,,,,,
2026-08-23 10:19:18 PM,Common Machines,Bodyweight — No Equipment,Squats,squats,4,,3,,,,,,,,,,
2026-08-23 10:20:28 PM,Common Machines,Bodyweight — No Equipment,Push Ups,push-ups,1,,20,,,,,,,,,,
2026-08-23 10:20:28 PM,Common Machines,Bodyweight — No Equipment,Push Ups,push-ups,2,,15,,,,,,,,,,
2026-08-23 10:20:28 PM,Common Machines,Bodyweight — No Equipment,Push Ups,push-ups,3,,10,,,,,,,,,,
